number of wings	minimum price	optimal partition
192	21390	4, 4, 6, 25, 25, 25, 25, 25, 25, 28
193	21500	6, 6, 6, 25, 25, 125
194	21615	4, 6, 6, 25, 25, 25, 25, 25, 25, 28
195	21730	4, 4, 6, 6, 25, 25, 125
196	21840	6, 6, 6, 25, 25, 25, 25, 25, 25, 28
197	21955	4, 6, 6, 6, 25, 25, 125
198	22070	4, 4, 6, 6, 25, 25, 25, 25, 25, 25, 28
199	22180	6, 6, 6, 6, 25, 25, 125
200	22240	25, 25, 25, 125
201	22355	25, 25, 25, 25, 25, 25, 25, 26
202	22470	25, 25, 25, 25, 25, 25, 25, 27
203	22580	25, 25, 25, 25, 25, 25, 25, 28
204	22695	4, 25, 25, 25, 125
205	22810	4, 25, 25, 25, 25, 25, 25, 25, 26
206	22920	6, 25, 25, 25, 125
207	23035	4, 25, 25, 25, 25, 25, 25, 25, 28
208	23150	4, 4, 25, 25, 25, 125
209	23260	6, 25, 25, 25, 25, 25, 25, 25, 28
210	23375	4, 6, 25, 25, 25, 125
211	23490	4, 4, 25, 25, 25, 25, 25, 25, 25, 28
212	23600	6, 6, 25, 25, 25, 125
213	23715	4, 6, 25, 25, 25, 25, 25, 25, 25, 28
214	23830	4, 4, 6, 25, 25, 25, 125
215	23940	6, 6, 25, 25, 25, 25, 25, 25, 25, 28
216	24055	4, 6, 6, 25, 25, 25, 125
217	24170	4, 4, 6, 25, 25, 25, 25, 25, 25, 25, 28
218	24280	6, 6, 6, 25, 25, 25, 125
219	24395	4, 6, 6, 25, 25, 25, 25, 25, 25, 25, 28
220	24510	4, 4, 6, 6, 25, 25, 25, 125
221	24620	6, 6, 6, 25, 25, 25, 25, 25, 25, 25, 28
222	24735	4, 6, 6, 6, 25, 25, 25, 125
223	24850	4, 4, 6, 6, 25, 25, 25, 25, 25, 25, 25, 28
224	24960	6, 6, 6, 6, 25, 25, 25, 125
225	25020	25, 25, 25, 25, 125
226	25135	25, 25, 25, 25, 25, 25, 25, 25, 26
227	25250	25, 25, 25, 25, 25, 25, 25, 25, 27
228	25360	25, 25, 25, 25, 25, 25, 25, 25, 28
229	25475	4, 25, 25, 25, 25, 125
230	25590	4, 25, 25, 25, 25, 25, 25, 25, 25, 26
231	25700	6, 25, 25, 25, 25, 125
232	25815	4, 25, 25, 25, 25, 25, 25, 25, 25, 28
233	25930	4, 4, 25, 25, 25, 25, 125
234	26040	6, 25, 25, 25, 25, 25, 25, 25, 25, 28
235	26155	4, 6, 25, 25, 25, 25, 125
236	26270	4, 4, 25, 25, 25, 25, 25, 25, 25, 25, 28
237	26380	6, 6, 25, 25, 25, 25, 125
238	26495	4, 6, 25, 25, 25, 25, 25, 25, 25, 25, 28
239	26610	4, 4, 6, 25, 25, 25, 25, 125
240	26720	6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 28
241	26835	4, 6, 6, 25, 25, 25, 25, 125
242	26950	4, 4, 6, 25, 25, 25, 25, 25, 25, 25, 25, 28
243	27060	6, 6, 6, 25, 25, 25, 25, 125
244	27175	4, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 28
245	27290	4, 4, 6, 6, 25, 25, 25, 25, 125
246	27400	6, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 28
247	27515	4, 6, 6, 6, 25, 25, 25, 25, 125
248	27630	4, 4, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 28
249	27740	6, 6, 6, 6, 25, 25, 25, 25, 125
250	27800	25, 25, 25, 25, 25, 125
251	27915	25, 25, 25, 25, 25, 25, 25, 25, 25, 26
252	28030	25, 25, 25, 25, 25, 25, 25, 25, 25, 27
253	28140	25, 25, 25, 25, 25, 25, 25, 25, 25, 28
254	28255	4, 25, 25, 25, 25, 25, 125
255	28370	4, 25, 25, 25, 25, 25, 25, 25, 25, 25, 26
256	28480	6, 25, 25, 25, 25, 25, 125
257	28595	4, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
258	28710	4, 4, 25, 25, 25, 25, 25, 125
259	28820	6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
260	28935	4, 6, 25, 25, 25, 25, 25, 125
261	29050	4, 4, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
262	29160	6, 6, 25, 25, 25, 25, 25, 125
263	29275	4, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
264	29390	4, 4, 6, 25, 25, 25, 25, 25, 125
265	29500	6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
266	29615	4, 6, 6, 25, 25, 25, 25, 25, 125
267	29730	4, 4, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
268	29840	6, 6, 6, 25, 25, 25, 25, 25, 125
269	29955	4, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
270	30070	4, 4, 6, 6, 25, 25, 25, 25, 25, 125
271	30180	6, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
272	30295	4, 6, 6, 6, 25, 25, 25, 25, 25, 125
273	30410	4, 4, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
274	30520	6, 6, 6, 6, 25, 25, 25, 25, 25, 125
275	30580	25, 25, 25, 25, 25, 25, 125
276	30695	25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 26
277	30810	25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 27
278	30920	25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
279	31035	4, 25, 25, 25, 25, 25, 25, 125
280	31150	4, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 26
281	31260	6, 25, 25, 25, 25, 25, 25, 125
282	31375	4, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
283	31490	4, 4, 25, 25, 25, 25, 25, 25, 125
284	31600	6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
285	31715	4, 6, 25, 25, 25, 25, 25, 25, 125
286	31830	4, 4, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
287	31940	6, 6, 25, 25, 25, 25, 25, 25, 125
288	32055	4, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
289	32170	4, 4, 6, 25, 25, 25, 25, 25, 25, 125
290	32280	6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
291	32395	4, 6, 6, 25, 25, 25, 25, 25, 25, 125
292	32510	4, 4, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
293	32620	6, 6, 6, 25, 25, 25, 25, 25, 25, 125
294	32735	4, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
295	32850	4, 4, 6, 6, 25, 25, 25, 25, 25, 25, 125
296	32960	6, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
297	33075	4, 6, 6, 6, 25, 25, 25, 25, 25, 25, 125
298	33190	4, 4, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
299	33300	6, 6, 6, 6, 25, 25, 25, 25, 25, 25, 125
300	33360	25, 25, 25, 25, 25, 25, 25, 125
301	33475	25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 26
302	33590	25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 27
303	33700	25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
304	33815	4, 25, 25, 25, 25, 25, 25, 25, 125
305	33930	4, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 26
306	34040	6, 25, 25, 25, 25, 25, 25, 25, 125
307	34155	4, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
308	34270	4, 4, 25, 25, 25, 25, 25, 25, 25, 125
309	34380	6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
310	34495	4, 6, 25, 25, 25, 25, 25, 25, 25, 125
311	34610	4, 4, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
312	34720	6, 6, 25, 25, 25, 25, 25, 25, 25, 125
313	34835	4, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
314	34950	4, 4, 6, 25, 25, 25, 25, 25, 25, 25, 125
315	35060	6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
316	35175	4, 6, 6, 25, 25, 25, 25, 25, 25, 25, 125
317	35290	4, 4, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
318	35400	6, 6, 6, 25, 25, 25, 25, 25, 25, 25, 125
319	35515	4, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
320	35630	4, 4, 6, 6, 25, 25, 25, 25, 25, 25, 25, 125
321	35740	6, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
322	35855	4, 6, 6, 6, 25, 25, 25, 25, 25, 25, 25, 125
323	35970	4, 4, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
324	36080	6, 6, 6, 6, 25, 25, 25, 25, 25, 25, 25, 125
325	36140	25, 25, 25, 25, 25, 25, 25, 25, 125
326	36255	25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 26
327	36370	25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 27
328	36480	25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 28
329	36595	4, 25, 25, 25, 25, 25, 25, 25, 25, 125
